"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00087205","3.0","ERS1458949","MGYS00001336","metagenomic",,"ERR1743357",
"MGYA00087181","3.0","ERS1458922","MGYS00001336","metagenomic",,"ERR1743330",
"MGYA00123081","3.0","ERS1696841","MGYS00001736","metagenomic",,"ERR1951257",
"MGYA00069101","3.0","ERS1245401","MGYS00001177","metagenomic",,"ERR1527285",
"MGYA00112302","3.0","ERS1222674","MGYS00001690","metagenomic",,"ERR1474561",
"MGYA00085825","3.0","ERS1444895","MGYS00001318","metagenomic",,"ERR1727066",
"MGYA00107742","3.0","ERS783981","MGYS00001660","metagenomic",,"ERR953369",
"MGYA00087174","3.0","ERS1458894","MGYS00001336","metagenomic",,"ERR1743302",
"MGYA00085392","3.0","ERS1443835","MGYS00001105","metagenomic",,"ERR1726985",
"MGYA00069074","3.0","ERS1245392","MGYS00001177","metagenomic",,"ERR1527250",
"MGYA00087169","3.0","ERS1458927","MGYS00001336","metagenomic",,"ERR1743335",
"MGYA00095519","3.0","SRS1589004","MGYS00001401","metagenomic",,"SRR3960573",
"MGYA00123080","3.0","ERS1696840","MGYS00001736","metagenomic",,"ERR1951256",
"MGYA00105096","3.0","ERS956391","MGYS00001622","metagenomic",,"ERR1121456",
"MGYA00087188","3.0","ERS1458873","MGYS00001336","metagenomic",,"ERR1743281",
"MGYA00085378","3.0","ERS1443829","MGYS00001105","metagenomic",,"ERR1726436",
"MGYA00069089","3.0","ERS1245399","MGYS00001177","metagenomic",,"ERR1527276",
"MGYA00087163","3.0","ERS1458942","MGYS00001336","metagenomic",,"ERR1743350",
"MGYA00087142","3.0","ERS1458971","MGYS00001336","metagenomic",,"ERR1743379",
"MGYA00105094","3.0","ERS956392","MGYS00001622","metagenomic",,"ERR1121457",
"MGYA00069093","3.0","ERS1245394","MGYS00001177","metagenomic",,"ERR1527255",
"MGYA00069075","3.0","ERS1245395","MGYS00001177","metagenomic",,"ERR1527260",
"MGYA00087130","3.0","ERS1458934","MGYS00001336","metagenomic",,"ERR1743342",
"MGYA00095520","3.0","SRS1592459","MGYS00001402","metagenomic",,"SRR3986665",
"MGYA00087118","3.0","ERS1458906","MGYS00001336","metagenomic",,"ERR1743314",
"MGYA00105090","3.0","ERS956390","MGYS00001622","metagenomic",,"ERR1121455",
"MGYA00085394","3.0","ERS1443832","MGYS00001105","metagenomic",,"ERR1726463",
"MGYA00069111","3.0","ERS1245400","MGYS00001177","metagenomic",,"ERR1527280",
"MGYA00087178","3.0","ERS1458926","MGYS00001336","metagenomic",,"ERR1743334",
"MGYA00087207","3.0","ERS1458901","MGYS00001336","metagenomic",,"ERR1743309",
"MGYA00087119","3.0","ERS1458889","MGYS00001336","metagenomic",,"ERR1743297",
"MGYA00095528","3.0","SRS1593576","MGYS00001410","metagenomic",,"SRR3987489",
"MGYA00069086","3.0","ERS1245393","MGYS00001177","metagenomic",,"ERR1527251",
"MGYA00095522","3.0","SRS1593038","MGYS00001404","metagenomic",,"SRR3987091",
"MGYA00112376","3.0","ERS1659218","MGYS00001696","metagenomic",,"ERR1923791",
"MGYA00087152","3.0","ERS1458957","MGYS00001336","metagenomic",,"ERR1743365",
"MGYA00087165","3.0","ERS1458866","MGYS00001336","metagenomic",,"ERR1743274",
"MGYA00087185","3.0","ERS1458881","MGYS00001336","metagenomic",,"ERR1743289",
"MGYA00087139","3.0","ERS1458954","MGYS00001336","metagenomic",,"ERR1743362",
"MGYA00069095","3.0","ERS1245397","MGYS00001177","metagenomic",,"ERR1527268",
