"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00094724","3.0","ERS1474394","MGYS00001380","metagenomic",,"ERR1762081",
"MGYA00094752","3.0","ERS1474380","MGYS00001380","metagenomic",,"ERR1762128",
"MGYA00094754","3.0","ERS1474392","MGYS00001380","metagenomic",,"ERR1762069",
"MGYA00070433","3.0","ERS606366","MGYS00001193","metagenomic",,"ERR675576",
"MGYA00094723","3.0","ERS1474389","MGYS00001380","metagenomic",,"ERR1762091",
"MGYA00071514","3.0","ERS1338482","MGYS00001214","metagenomic",,"ERR1614719",
"MGYA00074481","3.0","ERS970427","MGYS00001225","metagenomic",,"ERR1135746",
"MGYA00128401","3.0","ERS743171","MGYS00001787","metagenomic",,"ERR906541",
"MGYA00128543","3.0","ERS723602","MGYS00001796","metagenomic",,"ERR878224",
"MGYA00074793","3.0","ERS970390","MGYS00001225","metagenomic",,"ERR1135709",
